Clone Name,Accession,Donor Collection,Donor Name,NA Code
RIM 189 [MEX],RUQ 310,"Centro Agronómico Tropical de Investigación y Enseñanza (CATIE), Costa Rica",,7798
RUQ 1347 (MIS_GBR207_CCN 51),RUQ 1347,"Estation Experimental Tropical Pichilingue, Ecuador",,
RUQ 1701 (MIS_GBR207_T79/501),RUQ 1701,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), French Guiana",,
SC 9 [UNK],RUQ 44,RBG Kew,,29581
SC 20 [COL],RUQ 690,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,8446
SCA 6,RUQ 234,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,8521
SCA 9,RUQ 1064,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,8526
SCA 10,RUQ 1730,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,8527
SCA 11,RUQ 1686,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,8528
SHRS-1,RUQ 1708,"USDA-SHRS, United States of America",,33323
SHRS-2,RUQ 1712,"USDA-SHRS, United States of America",,33324
SHRS-4,RUQ 1709,"USDA-SHRS, United States of America",,33326
SHRS-5,RUQ 1711,"USDA-SHRS, United States of America",,33327
SHRS-7,RUQ 1716,"USDA-SHRS, United States of America",,33329
SHRS-8,RUQ 1713,"USDA-SHRS, United States of America",,34496
SHRS-9,RUQ 1710,"USDA-SHRS, United States of America",,33330
SHRS-34,RUQ 1755,"USDA-SHRS, United States of America",,34498
SHRS-37,RUQ 1734,"USDA-SHRS, United States of America",,34499
SIAL 339,RUQ 48,RBG Kew,,8670
SILECIA 5 [ECU],RUQ 1349,"Estation Experimental Tropical Pichilingue, Ecuador",,8741
SLC 18,RUQ 1134,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,8824
SLC 19,RUQ 1664,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,8825
SNK 413,RUQ 854,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,8927
SPA 7 [COL],RUQ 1552,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,8995
SPA 9 [COL],RUQ 235,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,8997
