Clone name,Pod index,Yield ha,Yield tree,Info,Notes,Refcode,Seed index,Productivity,Dry yield tree,Wet weight beans per tree,Yield efficiency
CRU 123,22.7,,,,,BEKAD1,,,,,
CRU 124,27.5,,,,,BEKAD1,,,,,
CRU 126,17.1,,,,,BEKAD1,,,,,
CRU 127,35.0,,,,,BEKAD1,,,,,
CRU 128,23.1,,,,,BEKAD1,,,,,
CRU 129,18.7,,,,,BEKAD1,,,,,
CRU 13,24.0,,,,,BEKAD1,,,,,
CRU 131,49.3,,,,,BEKAD1,,,,,
CRU 132,25.3,,,,,BEKAD1,,,,,
CRU 133,19.0,,,,,BEKAD1,,,,,
CRU 135,22.0,,,,,BEKAD1,,,,,
CRU 136,21.0,,,,,BEKAD1,,,,,
CRU 137,19.7,,,,,BEKAD1,,,,,
CRU 138,15.8,,,,,BEKAD1,,,,,
CRU 142,21.0,,,,,BEKAD1,,,,,
CRU 147,15.2,,,,,BEKAD1,,,,,
CRU 153,15.2,,,,,BEKAD1,,,,,
CRU 154,16.2,,,,,BEKAD1,,,,,
CRU 19,29.6,,,,,BEKAD1,,,,,
CRU 21,20.7,,,,,BEKAD1,,,,,
CRU 263,29.8,,,,,BEKAD1,,,,,
CRU 27,31.7,,,,,BEKAD1,,,,,
CRU 271 (MIS_TTO005_ICS 55),29.5,,,,,BEKAD1,,,,,
CRU 28,20.0,,,,,BEKAD1,,,,,
CRU 34,15.5,,,,,BEKAD1,,,,,
CRU 35,16.3,,,,,BEKAD1,,,,,
CRU 37,23.9,,,,,BEKAD1,,,,,
CRU 38,16.2,,,,,BEKAD1,,,,,
CRU 40,23.5,,,,,BEKAD1,,,,,
CRU 47,22.0,,,,,BEKAD1,,,,,
CRU 4A /1,45.3,,,,,BEKAD1,,,,,
CRU 4A/11,15.8,,,,,BEKAD1,,,,,
CRU 4A/4,15.7,,,,,BEKAD1,,,,,
CRU 4A/8,20.5,,,,,BEKAD1,,,,,
CRU 4A/9,34.3,,,,,BEKAD1,,,,,
CRU 5,27.7,,,,,BEKAD1,,,,,
