SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource
TSH660,TSH 660,genomic,SRR14743759 NCBI ENA,SRX11078363,SAMN19549267,"AGROSAVIA, Colombia"
TSH792,TSH 792,genomic,SRR14743758 NCBI ENA,SRX11078364,SAMN19549268,"AGROSAVIA, Colombia"
TSH812,TSH 812,genomic,SRR14743757 NCBI ENA,SRX11078365,SAMN19549269,"AGROSAVIA, Colombia"
TUMACO,TUMACO,genomic,SRR14743756 NCBI ENA,SRX11078366,SAMN19549270,"AGROSAVIA, Colombia"
TUMACO2,TUMACO 2,genomic,SRR14743755 NCBI ENA,SRX11078367,SAMN19549271,"AGROSAVIA, Colombia"
TUMACO3,TUMACO 3,genomic,SRR14743753 NCBI ENA,SRX11078369,SAMN19549272,"AGROSAVIA, Colombia"
TUMACO5,TUMACO 5,genomic,SRR14743752 NCBI ENA,SRX11078370,SAMN19549273,"AGROSAVIA, Colombia"
TUMACO6,TUMACO 6,genomic,SRR14743751 NCBI ENA,SRX11078371,SAMN19549274,"AGROSAVIA, Colombia"
TUMACO7,TUMACO 7,genomic,SRR14743750 NCBI ENA,SRX11078372,SAMN19549275,"AGROSAVIA, Colombia"
UF273,UF 273,genomic,SRR14743749 NCBI ENA,SRX11078373,SAMN19549276,"AGROSAVIA, Colombia"
