Clone name,Pathogen,Reaction,Info,Part,Notes
SIC 842,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 848,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 864,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 872,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 876,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIC 891,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
SIC 891,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
SIC 961,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SJ 2 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SM 2 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on mycelium growth
SM 4 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
SM 6 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SPEC 54 /1,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
T 10 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on mycelium growth
T 11 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
TR 12 [BRA],Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
TR 12 [BRA],Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
TR 15 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on perithecia production.
TR 22 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
TR 35 [BRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
TSA 641,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
TSA 654,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
TSA 656,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
TSAN 792,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
TSH 1188,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
TSH 1188,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
TSH 516,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
TSH 565,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
TSH 774,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
VB 515,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
VB 547,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
VB 679,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
VB 892,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
VB 892,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,-
VB 902,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
VENC 22 /6 [FRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
VENC 4 /4 [FRA],Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible based on perithecia production.
